"Trial","Distance","PacketLossPct","DfsEvent","Timestamp"
"1","15-30","10","False","2026-08-06T14:29:16.4428610+02:00"
"2","15-30","6,66667","False","2026-08-06T14:29:48.3809745+02:00"
"3","15-30","0","False","2026-08-06T14:30:21.0672322+02:00"
"4","15-30","33,3333","True","2026-08-06T14:30:52.8866814+02:00"
"5","15-30","0","False","2026-08-06T14:31:25.2294678+02:00"
"6","15-30","6,66667","False","2026-08-06T14:31:56.7432115+02:00"
"7","15-30","36,6667","True","2026-08-06T14:32:30.0973166+02:00"
"8","15-30","3,33333","False","2026-08-06T14:33:01.6309523+02:00"
"9","15-30","3,33333","False","2026-08-06T14:33:34.3828826+02:00"
"10","15-30","3,33333","False","2026-08-06T14:34:05.8937346+02:00"
"11","15-30","3,33333","False","2026-08-06T14:34:39.2708574+02:00"
"12","15-30","0","False","2026-08-06T14:35:09.8697920+02:00"
"13","15-30","10","False","2026-08-06T14:35:43.4816874+02:00"
"14","15-30","3,33333","False","2026-08-06T14:36:15.0892530+02:00"
"15","15-30","3,33333","False","2026-08-06T14:36:48.4547420+02:00"
"16","15-30","3,33333","False","2026-08-06T14:37:20.0976828+02:00"
"17","15-30","0","False","2026-08-06T14:37:52.5907549+02:00"
"18","15-30","0","False","2026-08-06T14:38:23.2339068+02:00"
"19","15-30","3,33333","False","2026-08-06T14:38:56.8257184+02:00"
"20","15-30","6,66667","False","2026-08-06T14:39:28.4311685+02:00"
"21","15-30","3,33333","False","2026-08-06T14:40:01.7217818+02:00"
"22","15-30","10","False","2026-08-06T14:40:33.2781109+02:00"
"23","15-30","3,33333","False","2026-08-06T14:41:06.6098631+02:00"
"24","15-30","3,33333","False","2026-08-06T14:41:38.2099606+02:00"
"25","15-30","20","False","2026-08-06T14:42:11.5595427+02:00"
"26","15-30","10","False","2026-08-06T14:42:43.1195966+02:00"
"27","15-30","3,33333","False","2026-08-06T14:43:16.5238075+02:00"
"28","15-30","0","False","2026-08-06T14:43:47.1087932+02:00"
"29","15-30","6,66667","False","2026-08-06T14:44:20.6784497+02:00"
"30","15-30","3,33333","False","2026-08-06T14:44:52.3294784+02:00"
"31","15-30","0","False","2026-08-06T14:45:24.7499252+02:00"
"32","15-30","3,33333","False","2026-08-06T14:45:56.3536699+02:00"
"33","15-30","33,3333","True","2026-08-06T14:46:29.9094033+02:00"
"34","15-30","0","False","2026-08-06T14:47:00.4587562+02:00"
"35","15-30","6,66667","False","2026-08-06T14:47:33.9965038+02:00"
"36","15-30","10","False","2026-08-06T14:48:05.5680331+02:00"
"37","15-30","3,33333","False","2026-08-06T14:48:38.8618967+02:00"
"38","15-30","3,33333","False","2026-08-06T14:49:10.3459869+02:00"
"39","15-30","6,66667","False","2026-08-06T14:49:43.4966620+02:00"
"40","15-30","3,33333","False","2026-08-06T14:50:14.9830380+02:00"
