"Trial","Distance","PacketLossPct","DfsEvent","Timestamp"
"1","30+","6,66667","False","2026-08-06T15:24:15.6990369+02:00"
"2","30+","26,6667","False","2026-08-06T15:24:47.3770239+02:00"
"3","30+","23,3333","False","2026-08-06T15:25:20.6868515+02:00"
"4","30+","16,6667","False","2026-08-06T15:25:52.2963789+02:00"
"5","30+","23,3333","False","2026-08-06T15:26:25.5544823+02:00"
"6","30+","13,3333","False","2026-08-06T15:26:57.1786247+02:00"
"7","30+","43,3333","True","2026-08-06T15:27:30.2451188+02:00"
"8","30+","6,66667","False","2026-08-06T15:28:01.7825153+02:00"
"9","30+","20","False","2026-08-06T15:28:35.0853502+02:00"
"10","30+","26,6667","False","2026-08-06T15:29:06.6245941+02:00"
"11","30+","16,6667","False","2026-08-06T15:29:39.7081883+02:00"
"12","30+","46,6667","True","2026-08-06T15:30:11.6316574+02:00"
"13","30+","10","False","2026-08-06T15:30:44.8504234+02:00"
"14","30+","16,6667","False","2026-08-06T15:31:16.4148092+02:00"
"15","30+","10","False","2026-08-06T15:31:49.5989882+02:00"
"16","30+","23,3333","False","2026-08-06T15:32:21.1953816+02:00"
"17","30+","20","False","2026-08-06T15:32:54.4933981+02:00"
"18","30+","23,3333","False","2026-08-06T15:33:25.8302182+02:00"
"19","30+","6,66667","False","2026-08-06T15:33:58.8794124+02:00"
"20","30+","30","False","2026-08-06T15:34:30.5082835+02:00"
"21","30+","3,33333","False","2026-08-06T15:35:03.6818547+02:00"
"22","30+","43,3333","False","2026-08-06T15:35:35.3716616+02:00"
"23","30+","20","False","2026-08-06T15:36:08.5874175+02:00"
"24","30+","30","False","2026-08-06T15:36:40.2403057+02:00"
"25","30+","30","False","2026-08-06T15:37:13.6505158+02:00"
"26","30+","33,3333","False","2026-08-06T15:37:45.2873737+02:00"
"27","30+","23,3333","False","2026-08-06T15:38:18.4737534+02:00"
"28","30+","13,3333","False","2026-08-06T15:38:50.0164983+02:00"
"29","30+","13,3333","False","2026-08-06T15:39:23.2164188+02:00"
"30","30+","16,6667","False","2026-08-06T15:39:54.7601914+02:00"
"31","30+","23,3333","False","2026-08-06T15:40:28.0793800+02:00"
"32","30+","30","False","2026-08-06T15:40:59.7379725+02:00"
"33","30+","13,3333","False","2026-08-06T15:41:32.8993912+02:00"
"34","30+","36,6667","False","2026-08-06T15:42:04.5837922+02:00"
"35","30+","6,66667","False","2026-08-06T15:42:37.8103830+02:00"
"36","30+","30","False","2026-08-06T15:43:09.4895208+02:00"
"37","30+","20","False","2026-08-06T15:43:42.7900551+02:00"
"38","30+","23,3333","False","2026-08-06T15:44:14.3676881+02:00"
"39","30+","3,33333","False","2026-08-06T15:44:47.5904363+02:00"
"40","30+","13,3333","False","2026-08-06T15:45:19.0318993+02:00"
"41","30+","16,6667","False","2026-08-06T15:45:52.7483949+02:00"
"42","30+","16,6667","False","2026-08-06T15:46:24.4704086+02:00"
"43","30+","20","False","2026-08-06T15:46:58.3564098+02:00"
"44","30+","16,6667","False","2026-08-06T15:47:30.0292392+02:00"
"45","30+","36,6667","False","2026-08-06T15:48:03.6420279+02:00"
"46","30+","20","False","2026-08-06T15:48:35.3538382+02:00"
"47","30+","36,6667","False","2026-08-06T15:49:09.0678809+02:00"
"48","30+","23,3333","False","2026-08-06T15:49:40.7398637+02:00"
"49","30+","10","False","2026-08-06T15:50:13.9106023+02:00"
"50","30+","20","False","2026-08-06T15:50:45.6807256+02:00"
"51","30+","20","False","2026-08-06T15:51:19.1788409+02:00"
"52","30+","13,3333","False","2026-08-06T15:51:50.8849726+02:00"
"53","30+","13,3333","False","2026-08-06T15:52:24.5120644+02:00"
"54","30+","10","False","2026-08-06T15:52:56.1489261+02:00"
"55","30+","46,6667","True","2026-08-06T15:53:29.9119470+02:00"
"56","30+","26,6667","False","2026-08-06T15:54:01.6313510+02:00"
"57","30+","3,33333","False","2026-08-06T15:54:35.0972284+02:00"
"58","30+","23,3333","False","2026-08-06T15:55:06.9111403+02:00"
"59","30+","20","False","2026-08-06T15:55:40.5889362+02:00"
"60","30+","16,6667","False","2026-08-06T15:56:12.3712264+02:00"
"61","30+","16,6667","False","2026-08-06T15:56:46.4644736+02:00"
"62","30+","13,3333","False","2026-08-06T15:57:18.3603758+02:00"
"63","30+","23,3333","False","2026-08-06T15:57:52.6990034+02:00"
"64","30+","10","False","2026-08-06T15:58:24.4486594+02:00"
"65","30+","16,6667","False","2026-08-06T15:58:58.3524414+02:00"
"66","30+","16,6667","False","2026-08-06T15:59:30.3038916+02:00"
"67","30+","30","False","2026-08-06T16:00:04.3295192+02:00"
"68","30+","30","False","2026-08-06T16:00:36.3641205+02:00"
"69","30+","23,3333","False","2026-08-06T16:01:10.3946018+02:00"
"70","30+","33,3333","False","2026-08-06T16:01:42.3136368+02:00"
"71","30+","20","False","2026-08-06T16:02:16.5251608+02:00"
"72","30+","30","False","2026-08-06T16:02:48.4407579+02:00"
"73","30+","30","False","2026-08-06T16:03:22.5464403+02:00"
"74","30+","20","False","2026-08-06T16:03:54.4978106+02:00"
"75","30+","10","False","2026-08-06T16:04:28.5994658+02:00"
"76","30+","16,6667","False","2026-08-06T16:05:00.3698210+02:00"
"77","30+","23,3333","False","2026-08-06T16:05:34.4367795+02:00"
"78","30+","36,6667","False","2026-08-06T16:06:06.4443151+02:00"
